table	total	real_240_names	fallback_no_240_name	fallback_unsafe	fallback_dup
npc	14162	14141	0	21	0
obj	30646	30504	82	60	0
loc	56078	55616	0	462	0
seq	12025	12019	6	0	0
inv	920	920	0	0	0
dbrow	4318	4299	19	0	0
dbtable	87	86	1	0	0
varbit	17262	9942	6770	550	0
varp	4661	2171	2490	0	0
enum	5716	0	5716	0	0
struct	5828	0	5828	0	0
param	2249	0	2249	0	0
jingle	307	0	307	0	0
midi	817	817	0	0	0
synth	10195	0	10195	0	0
category	2037	0	2037	0	0
stat	24	24	0	0	0
interface	899	898	1	0	0
spotanim	3230	3230	0	0	0
component	25226	25021	205	0	0
dbcol	381	367	14	0	0
