# CUSTOM_ITEM_IDS — authoritative record of the custom item layer, PRE-Stage-5c state
#
# Harvested programmatically at Stage 5c from every source that creates or edits
# item definitions at cache build time: the item_config tomls (definitions/ankou_sets/
# comp capes/toa), every assets/types toml with [[item]] or [item] blocks, the
# NearRealityOriginsPacker packCustoms()/promoBundle() code-built items, and
# NearRealityCustomItemPacker's in-code edits. 1057 unique ids: 781 new custom
# defs, 60 vanilla-id overwrites, 216 vanilla edits.
#
# Stage 5c deletes most of this layer — this file is the tombstone index, not a
# live manifest. Kinds: NEW = custom def on a free id; OVERWRITE = full custom def
# written onto a real OSRS id; EDIT = inherit-only tweak of a vanilla id.
# Format: id<TAB>kind<TAB>group<TAB>name<TAB>source
#
# Offline_Scape custom item id manifest (stage 5c)
# id	kind	group	name	source
1037	VANILLA EDIT (inherit-only)	types/item: tradeable_items	Items with destroy option	cache/assets/types/item/tradeable_items.toml:2
1419	VANILLA EDIT (inherit-only)	types/item: tradeable_items	Items with destroy option	cache/assets/types/item/tradeable_items.toml:2
1525	VANILLA EDIT (inherit-only)	types/item: snake_weed	Grimy snake weed	cache/assets/types/item/snake_weed.toml:28
1526	VANILLA EDIT (inherit-only)	types/item: snake_weed	Snake weed	cache/assets/types/item/snake_weed.toml:33
1580	VANILLA EDIT (inherit-only)	types/item: ice_gloves	Ice gloves	cache/assets/types/item/ice_gloves.toml:2
2402	VANILLA EDIT (inherit-only)	types/item: silverlight	Silverlight	cache/assets/types/item/silverlight.toml:2
2552	VANILLA EDIT (inherit-only)	types/item: dueling_rings	(inherits name from [2552, 2554, 2556, 2558, 2560, 2562, 2564, 2566])	cache/assets/types/item/dueling_rings.toml:1
2554	VANILLA EDIT (inherit-only)	types/item: dueling_rings	(inherits name from [2552, 2554, 2556, 2558, 2560, 2562, 2564, 2566])	cache/assets/types/item/dueling_rings.toml:1
2556	VANILLA EDIT (inherit-only)	types/item: dueling_rings	(inherits name from [2552, 2554, 2556, 2558, 2560, 2562, 2564, 2566])	cache/assets/types/item/dueling_rings.toml:1
2558	VANILLA EDIT (inherit-only)	types/item: dueling_rings	(inherits name from [2552, 2554, 2556, 2558, 2560, 2562, 2564, 2566])	cache/assets/types/item/dueling_rings.toml:1
2560	VANILLA EDIT (inherit-only)	types/item: dueling_rings	(inherits name from [2552, 2554, 2556, 2558, 2560, 2562, 2564, 2566])	cache/assets/types/item/dueling_rings.toml:1
2562	VANILLA EDIT (inherit-only)	types/item: dueling_rings	(inherits name from [2552, 2554, 2556, 2558, 2560, 2562, 2564, 2566])	cache/assets/types/item/dueling_rings.toml:1
2564	VANILLA EDIT (inherit-only)	types/item: dueling_rings	(inherits name from [2552, 2554, 2556, 2558, 2560, 2562, 2564, 2566])	cache/assets/types/item/dueling_rings.toml:1
2566	VANILLA EDIT (inherit-only)	types/item: dueling_rings	(inherits name from [2552, 2554, 2556, 2558, 2560, 2562, 2564, 2566])	cache/assets/types/item/dueling_rings.toml:1
2678	VANILLA-ID OVERWRITE	types/item: emote_scroll	Emote scroll	cache/assets/types/item/emote_scroll.toml:2
2679	VANILLA-ID OVERWRITE [noted]	types/item: snake_weed	(noted of 1525)	cache/assets/types/item/snake_weed.toml:2
2680	VANILLA-ID OVERWRITE [noted]	types/item: snake_weed	(noted of 1526)	cache/assets/types/item/snake_weed.toml:15
2683	VANILLA-ID OVERWRITE	types/item: zenyte_armour	%SERVER_NAME% helm	cache/assets/types/item/zenyte_armour.toml:2
2684	VANILLA-ID OVERWRITE	types/item: zenyte_armour	%SERVER_NAME% platebody	cache/assets/types/item/zenyte_armour.toml:26
2685	VANILLA-ID OVERWRITE	types/item: zenyte_armour	%SERVER_NAME% platelegs	cache/assets/types/item/zenyte_armour.toml:50
2686	VANILLA-ID OVERWRITE	types/item: zenyte_armour	%SERVER_NAME% cape	cache/assets/types/item/zenyte_armour.toml:74
2687	VANILLA-ID OVERWRITE	types/item: zenyte_armour	%SERVER_NAME% boots	cache/assets/types/item/zenyte_armour.toml:99
2688	VANILLA-ID OVERWRITE	types/item: zenyte_armour	%SERVER_NAME% gloves	cache/assets/types/item/zenyte_armour.toml:123
2689	VANILLA-ID OVERWRITE	drop tables	Rare drop table	cache/assets/types/drop_tables.toml:2
2690	VANILLA-ID OVERWRITE	drop tables	Gem drop table	cache/assets/types/drop_tables.toml:14
2710	VANILLA-ID OVERWRITE	types/item: graceful_dye	Graceful dye	cache/assets/types/item/graceful_dye.toml:2
2715	VANILLA-ID OVERWRITE	store items	Robes of ruin set	cache/assets/types/store_items.toml:193
2717	VANILLA-ID OVERWRITE	store items	Black ankou set	cache/assets/types/store_items.toml:178
2718	VANILLA-ID OVERWRITE	store items	Purple ankou set	cache/assets/types/store_items.toml:185
2720	VANILLA-ID OVERWRITE	store items	Gold ankou set	cache/assets/types/store_items.toml:171
2721	VANILLA-ID OVERWRITE	store items	Blue ankou set	cache/assets/types/store_items.toml:163
2724	VANILLA-ID OVERWRITE	store items	Infinity set	cache/assets/types/store_items.toml:2
2726	VANILLA-ID OVERWRITE	store items	Void knight set	cache/assets/types/store_items.toml:9
2728	VANILLA-ID OVERWRITE	store items	Elite void knight set	cache/assets/types/store_items.toml:16
2730	VANILLA-ID OVERWRITE	store items	3rd age range set	cache/assets/types/store_items.toml:23
2732	VANILLA-ID OVERWRITE	store items	3rd age melee set	cache/assets/types/store_items.toml:30
2734	VANILLA-ID OVERWRITE	store items	3rd age mage set	cache/assets/types/store_items.toml:37
2736	VANILLA-ID OVERWRITE	store items	3rd age druidic set	cache/assets/types/store_items.toml:44
2738	VANILLA-ID OVERWRITE	store items	Corrupted set	cache/assets/types/store_items.toml:51
2740	VANILLA-ID OVERWRITE	store items	Rangers' set	cache/assets/types/store_items.toml:58
2742	VANILLA-ID OVERWRITE	store items	Santa set	cache/assets/types/store_items.toml:65
2744	VANILLA-ID OVERWRITE	store items	Bunny set	cache/assets/types/store_items.toml:72
2746	VANILLA-ID OVERWRITE	store items	White ankou set	cache/assets/types/store_items.toml:79
2748	VANILLA-ID OVERWRITE	store items	Green ankou set	cache/assets/types/store_items.toml:86
2749	NEW custom def (low-range slot reuse)	store items	Black-green ankou set	cache/assets/types/store_items.toml:93
2750	NEW custom def (low-range slot reuse)	store items	Black-purple ankou set	cache/assets/types/store_items.toml:100
2751	NEW custom def (low-range slot reuse)	store items	Black-white ankou set	cache/assets/types/store_items.toml:107
2752	NEW custom def (low-range slot reuse)	store items	Black-yellow ankou set	cache/assets/types/store_items.toml:114
2753	NEW custom def (low-range slot reuse)	store items	Gilded ankou set	cache/assets/types/store_items.toml:121
2754	NEW custom def (low-range slot reuse)	store items	Green-black ankou set	cache/assets/types/store_items.toml:128
2755	NEW custom def (low-range slot reuse)	store items	Purple-black ankou set	cache/assets/types/store_items.toml:135
2756	NEW custom def (low-range slot reuse)	store items	Red-black ankou set	cache/assets/types/store_items.toml:142
2757	NEW custom def (low-range slot reuse)	store items	White-blue ankou set	cache/assets/types/store_items.toml:149
2758	NEW custom def (low-range slot reuse)	store items	White-purple ankou set	cache/assets/types/store_items.toml:156
2759	NEW custom def (low-range slot reuse)	donator pins	Donator pin ($5)	cache/assets/osnr/custom_items/item_config/definitions.toml:4315
2760	NEW custom def (low-range slot reuse) [placeholder]	donator pins	Donator pin 5	cache/assets/osnr/custom_items/item_config/definitions.toml:4327
2761	NEW custom def (low-range slot reuse)	donator pins	Donator pin ($35)	cache/assets/osnr/custom_items/item_config/definitions.toml:4336
2762	NEW custom def (low-range slot reuse) [placeholder]	donator pins	Donator pin 35	cache/assets/osnr/custom_items/item_config/definitions.toml:4351
2763	NEW custom def (packer, low-range slot reuse)	promo bundles	NR Promo Bundle #1	NearRealityOriginsPacker.promoBundle() [DONATOR_PROMO_BUNDLE_1]
2764	NEW custom def (packer, low-range slot reuse)	promo bundles	NR Promo Bundle #2	NearRealityOriginsPacker.promoBundle() [DONATOR_PROMO_BUNDLE_2]
2765	NEW custom def (packer, low-range slot reuse)	promo bundles	NR Promo Bundle #3	NearRealityOriginsPacker.promoBundle() [DONATOR_PROMO_BUNDLE_3]
2766	NEW custom def (packer, low-range slot reuse)	promo bundles	NR Promo Bundle #4	NearRealityOriginsPacker.promoBundle() [DONATOR_PROMO_BUNDLE_4]
2767	NEW custom def (packer, low-range slot reuse)	promo bundles	NR Promo Bundle #5	NearRealityOriginsPacker.promoBundle() [DONATOR_PROMO_BUNDLE_5]
2768	NEW custom def (packer, low-range slot reuse)	promo bundles	NR Promo Bundle #6	NearRealityOriginsPacker.promoBundle() [DONATOR_PROMO_BUNDLE_6]
2769	NEW custom def (packer, low-range slot reuse)	promo bundles	NR Promo Bundle #7	NearRealityOriginsPacker.promoBundle() [DONATOR_PROMO_BUNDLE_7]
2770	NEW custom def (packer, low-range slot reuse)	promo bundles	NR Promo Bundle #8	NearRealityOriginsPacker.promoBundle() [DONATOR_PROMO_BUNDLE_8]
2771	NEW custom def (packer, low-range slot reuse)	promo bundles	NR Promo Bundle #9	NearRealityOriginsPacker.promoBundle() [DONATOR_PROMO_BUNDLE_9]
2772	NEW custom def (packer, low-range slot reuse)	promo bundles	NR Promo Bundle #10	NearRealityOriginsPacker.promoBundle() [DONATOR_PROMO_BUNDLE_10]
2803	VANILLA-ID OVERWRITE	types/item: scroll_boxes	Scroll box (beginner)	cache/assets/types/item/scroll_boxes.toml:2
2805	VANILLA-ID OVERWRITE	types/item: scroll_boxes	Scroll box (easy)	cache/assets/types/item/scroll_boxes.toml:32
2807	VANILLA-ID OVERWRITE	types/item: scroll_boxes	Scroll box (medium)	cache/assets/types/item/scroll_boxes.toml:62
2809	VANILLA-ID OVERWRITE	types/item: scroll_boxes	Scroll box (hard)	cache/assets/types/item/scroll_boxes.toml:92
2811	VANILLA-ID OVERWRITE	types/item: scroll_boxes	Scroll box (elite)	cache/assets/types/item/scroll_boxes.toml:122
2813	VANILLA-ID OVERWRITE	types/item: scroll_boxes	Scroll box (master)	cache/assets/types/item/scroll_boxes.toml:152
3286	VANILLA EDIT (inherit-only)	spell items	Custom spellbook teleport names	cache/assets/types/spell_items.toml:3
3289	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3289, 4634, 20759, 20410])	cache/assets/types/spell_items.toml:11
3292	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3292, 4637, 9114, 20411])	cache/assets/types/spell_items.toml:19
3296	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3296, 4640, 9117, 20412])	cache/assets/types/spell_items.toml:27
3301	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3301, 4643, 9120, 20413])	cache/assets/types/spell_items.toml:35
3306	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3306, 4646, 9127, 20414])	cache/assets/types/spell_items.toml:43
3312	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3312, 4649, 9129, 20419])	cache/assets/types/spell_items.toml:51
4083	VANILLA EDIT (inherit-only)	types/item: sled	Sled	cache/assets/types/item/sled.toml:2
4084	VANILLA EDIT (code)	code edits: makeTradeable	Sled 4084	NearRealityCustomItemPacker.pack() (makeTradeable (GE=true))
4631	VANILLA EDIT (inherit-only)	spell items	Custom spellbook teleport names	cache/assets/types/spell_items.toml:3
4634	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3289, 4634, 20759, 20410])	cache/assets/types/spell_items.toml:11
4637	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3292, 4637, 9114, 20411])	cache/assets/types/spell_items.toml:19
4640	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3296, 4640, 9117, 20412])	cache/assets/types/spell_items.toml:27
4643	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3301, 4643, 9120, 20413])	cache/assets/types/spell_items.toml:35
4646	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3306, 4646, 9127, 20414])	cache/assets/types/spell_items.toml:43
4649	VANILLA EDIT (inherit-only)	spell items	(inherits name from [3312, 4649, 9129, 20419])	cache/assets/types/spell_items.toml:51
4652	VANILLA EDIT (inherit-only)	spell items	(inherits name from [21836, 4652, 9131, 20420])	cache/assets/types/spell_items.toml:59
4694	VANILLA EDIT (inherit-only)	types/item: prices	Runes that u can make profit with buying and selling	cache/assets/types/item/prices.toml:2
4695	VANILLA EDIT (inherit-only)	types/item: prices	Runes that u can make profit with buying and selling	cache/assets/types/item/prices.toml:2
4696	VANILLA EDIT (inherit-only)	types/item: prices	Runes that u can make profit with buying and selling	cache/assets/types/item/prices.toml:2
4697	VANILLA EDIT (inherit-only)	types/item: prices	Runes that u can make profit with buying and selling	cache/assets/types/item/prices.toml:2
4698	VANILLA EDIT (inherit-only)	types/item: prices	Runes that u can make profit with buying and selling	cache/assets/types/item/prices.toml:2
4699	VANILLA EDIT (inherit-only)	types/item: prices	Runes that u can make profit with buying and selling	cache/assets/types/item/prices.toml:2
4708	VANILLA EDIT (code)	code edits: makeTradeable	Ahrims Hood	NearRealityCustomItemPacker.pack() (makeTradeable (GE=true))
4710	VANILLA EDIT (code)	code edits: makeTradeable	Ahrims Staff	NearRealityCustomItemPacker.pack() (makeTradeable (GE=true))
4712	VANILLA EDIT (code)	code edits: makeTradeable	Ahrims Robetop	NearRealityCustomItemPacker.pack() (makeTradeable (GE=true))
4714	VANILLA EDIT (code)	code edits: makeTradeable	Ahrims Robeskirt	NearRealityCustomItemPacker.pack() (makeTradeable (GE=true))
